Grade Level,Subject,Topic Keywords,URL,Combined Text
Nursery 1,Math,"matching, filling the missing, circling, canceling out",https://elearning.reb.rw/course/view.php?id=219,"Nursery 1 Math matching, filling the missing, circling, canceling out"
Nursery 1,Animals,"cow, hen. goat, milk, animals, roles, animals",https://elearning.reb.rw/course/view.php?id=718,"Nursery 1 Animals cow, hen. goat, milk, animals, roles, animals"
Nursery 1,Me and my family,"my name, age, mother, father, old, parts of my body, house, home, bride, bridegroom, birthday, naming",https://elearning.reb.rw/course/view.php?id=719,"Nursery 1 Me and my family my name, age, mother, father, old, parts of my body, house, home, bride, bridegroom, birthday, naming"
Nursery 1,Art and culture,"filling based on the example, drawing based on the example, based on the example, joining the point, repeat, draw",https://elearning.reb.rw/course/view.php?id=720,"Nursery 1 Art and culture filling based on the example, drawing based on the example, based on the example, joining the point, repeat, draw"
Nursery 2,Math,"bigger, smaller, order, taller, shorter, matching colors, lighter, heavier, under, front, behind, at the top, square, triangle,circles, counting from 1 to 10, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10",https://elearning.reb.rw/course/view.php?id=735,"Nursery 2 Math bigger, smaller, order, taller, shorter, matching colors, lighter, heavier, under, front, behind, at the top, square, triangle,circles, counting from 1 to 10, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10"
Nursery 2,Wild Animals,"naming big animals, naming different type of birds, name different type of flies, wild animas",https://elearning.reb.rw/course/view.php?id=228,"Nursery 2 Wild Animals naming big animals, naming different type of birds, name different type of flies, wild animas"
Nursery 2,Me and my family,"rough, smooth, hot, cold, television, radio, smell, taste, sense, father mother grandmother grandfather, big sister ,big brother, small siste, small brother, naming clothes, matching what matches",https://elearning.reb.rw/course/view.php?id=728,"Nursery 2 Me and my family rough, smooth, hot, cold, television, radio, smell, taste, sense, father mother grandmother grandfather, big sister ,big brother, small siste, small brother, naming clothes, matching what matches"
Nursery 2,Art and culture,"filling based on the example, drawing based on the example, based on the example, joining the point, repeat, draw",https://elearning.reb.rw/course/view.php?id=736,"Nursery 2 Art and culture filling based on the example, drawing based on the example, based on the example, joining the point, repeat, draw"
Nursery 3,Math,"bigger, smaller, order, taller, shorter, matching colors, lighter, heavier, under, front, behind, at the top, square, triangle,circles, counting from 1 to 10, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, counting 20",https://elearning.reb.rw/course/view.php?id=748,"Nursery 3 Math bigger, smaller, order, taller, shorter, matching colors, lighter, heavier, under, front, behind, at the top, square, triangle,circles, counting from 1 to 10, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, counting 20"
Nursery 3,Domesticated Animals,"Domesticated animals, pigs, eggs, milk, mouse, sheeps",https://elearning.reb.rw/course/view.php?id=232,"Nursery 3 Domesticated Animals Domesticated animals, pigs, eggs, milk, mouse, sheeps"
Nursery 3,Me and my family,"rough, smooth, hot, cold, television, radio, smell, taste, sense, father mother grandmother grandfather, big sister ,big brother, small siste, small brother, naming clothes, matching what matches",https://elearning.reb.rw/course/view.php?id=728,"Nursery 3 Me and my family rough, smooth, hot, cold, television, radio, smell, taste, sense, father mother grandmother grandfather, big sister ,big brother, small siste, small brother, naming clothes, matching what matches"
Nursery 3,Art and culture,"filling based on the example, drawing based on the example, based on the example, joining the point, repeat, draw",https://elearning.reb.rw/course/view.php?id=749,"Nursery 3 Art and culture filling based on the example, drawing based on the example, based on the example, joining the point, repeat, draw"
Primary 1,Math,"Addition, Subtraction, multiplicatin division",https://elearning.reb.rw/pluginfile.php/45472/mod_resource/content/2/MATH%20P1.pdf,"Primary 1 Math Addition, Subtraction, multiplicatin division"
Primary 2,Science,"Plants, Animals, water, air",https://elearning.reb.rw/pluginfile.php/85767/mod_resource/content/1/SET%20P2%20Student%20Book.pdf,"Primary 2 Science Plants, Animals, water, air"
Primary 3,English,"Grammar, Vocabulary",https://elearning.reb.rw/pluginfile.php/45481/mod_resource/content/1/English%20p3.pdf,"Primary 3 English Grammar, Vocabulary"
